BEZEICHNUNG_OFFIZIELL;geopos
Basel SBB RB Nordkopf (Abzw);47.539639982,7.63237000536
Basel SBB RB Gr A;47.5380100142,7.63691999462
Grosshöchstetten;46.9040400003,7.63460004865
Hersiwil Ost RL 06;47.1693568837,7.63667278199
Wimmis;46.6755900108,7.63547997707
Sk Leuk, Kinderdorf;46.3152756378,7.63493306972
Basel SBB RB Gr G;47.5381300247,7.63972998812
Basel SBB RB West;47.5363123669,7.64638764852
Wiedlisbach;47.2528799653,7.64610003999
Muttenz;47.5335799595,7.64789002684
Hünibach, Schlossweg;46.7466752421,7.64608024302
Hünibach, Wartbodenstrasse 24;46.7510192867,7.64650259858
Riehen, Fond. Beyeler (Vzw);47.5863242356,7.65059819399
Hünibach, Flurweg;46.7457820101,7.64755555279
Hünibach, Höheweg 8;46.7478648175,7.64981449144
Frutigen Ost BZ Alptransit;46.587870364,7.6497141086
Rinderhütte (Schwalbennest);46.3681965183,7.64990313659
Birsfelden Hafen;47.5436599704,7.65457004509
Oenzbergtunnel NBS;47.1816464813,7.65520124125
Grenzach;47.5510804817,7.65888054756
Lörrach-Stetten (D);47.602874515,7.6592011308
Hilterfingen, Kummweg 6;46.7410680898,7.65735110178
Basel SBB RB Ost;47.5315664901,7.66098553845
Winklen (Spw);46.6012699871,7.65845996697
Spiezmoos Süd;46.6916900237,7.66087993984
Hilterfingen, Höhenstrasse 25;46.737011727,7.66170477079
Wynigen;47.1051599672,7.66349999037
Oberhofen a. T., Aebnitstr. 11;46.7341150324,7.66635049014
Oberbipp Industrie;47.2618704985,7.66892296525
80 Extern LLB Guttet_82;46.3243695115,7.66856991935
Oberhofen a. T., Tannacker 30;46.734042335,7.67119100038
Wengi-Ey (Abzw);46.6124699953,7.67423000425
Inkwil WolfachertunnelWestRL10;47.1965436339,7.68141683645
Niederbipp Weiche 31 (AnG);47.2648659733,7.68196425948
Lützelflüh-Goldbach;47.0049299945,7.68273996764
Wyhlen (D);47.5464737568,7.69080834621
Pratteln;47.5226599684,7.69081001374
Faulensee, Oberdorf (BLS);46.6778426151,7.69738972465
Scharnageln;47.2631000139,7.70079002301
Gieshübeltunnel NBS;47.1990729949,7.7011316272
Liestal Adlertunnel (Spw);47.5155999838,7.70375995026
Faulensee, Dorf (BLS);46.6753036348,7.7023047621
80 Extern Garage Ruff, Turtma;46.30814381,7.70057601996
Oensingen;47.2850200011,7.70985996155
Schwarzsee (Trockener Steg);45.9921538777,7.70891875318
Liestal Adlertunnel Süd;47.4940036231,7.7182290608
Trockener Steg (3-S Kl. Matt.);45.9710367196,7.72187020718
Schüpbach (Signau);46.9323400215,7.73465005645
Steinen (D);47.6413928966,7.73988334763
Furi (Schwarzsee);46.0016044215,7.73201890147
Gammenthal;47.0348619859,7.7378796946
Bubendorf;47.4595899853,7.74154005676
Langenthaltunnel NBS;47.2073958562,7.7404928527
Bützberg Ost (Agl);47.2125699727,7.74486998155
Waldenburg;47.3862800312,7.748849957
Oberdorf BL;47.3921200426,7.74890997357
Talhaus;47.4514399574,7.74977002184
Langenthaltunnel West;47.2102629445,7.75146495639
Obermatt;46.9509499576,7.75381005473
Leissigbad (Agl);46.656000039,7.75307995407
Gampel-Steg Unterwerk;46.3080562932,7.75604736675
Goppenstein Autorampe;46.3632899826,7.75752004769
Gandegg (Hockenhorn);46.4258586522,7.75794488826
Aarwangen Schloss;47.2451800023,7.7636200551
Mittalgrabentunnel Nord;46.3515199794,7.7595099512
Aarwangen Hard;47.2352603118,7.7735331388
Sunnegga (Talstation Blauherd);46.0168262483,7.77047351181
Lauchernalp (2. Sekt.);46.4107281397,7.77348847889
Murgenthaltunnel NBS;47.2262454891,7.78039562487
Langenthal;47.2172999635,7.78471003411
Lotzwil;47.1894700032,7.78838994593
Lindenholz;47.1546000053,7.79052998127
Blauherd (Gant);46.0167446681,7.7856311668
Beuggen;47.5820812219,7.81087503982
Wynau Aegertentunnel Ost;47.2600726449,7.81011468403
Roggwil Brunnmatten;47.2515929816,7.81495681642
14 PU Zerzuben St. Niklaus;46.1847322456,7.80883897049
Aegerten West RL 17;47.2532488789,7.81743884773
Hägendorf Oberbau;47.3258335089,7.82876111807
Huttwil Sportzentrum;47.1107927092,7.82967454283
Roggwil Buchägerten;47.2356599881,7.83193994977
Freiburg (Breisgau) Hbf;47.9978873183,7.84134081478
22 Garage STB, Saxeten;46.635667116,7.83375288757
Tankstelle Garage Möhlin;47.5776303324,7.84141013877
Raron Betriebszentrale West I;46.3092466795,7.83256473194
Hägendorf;47.330259974,7.84382002818
Gelterkinden;47.4658799933,7.84765999372
26 PU Wyss Wangen b/Olten;47.3409684252,7.86332245272
14 PU Autotour Zeneggen;46.2722233562,7.86328384104
Interlaken Brünig (Gleisende);46.6904199851,7.86748996334
Interlaken Ost [Gleis 3-4];46.6907300041,7.86905999659
Wilderswil;46.6656999897,7.86947000544
Sk Stalden, Schulhaus;46.2327687464,7.86997522042
32 PU Amstein Bus AG, Altbüro;47.1819350428,7.87955598259
Viktoria (Spw);46.3135900108,7.87487994691
Ackersand;46.2424300265,7.87484995423
Gondiswil;47.1281807423,7.88395703646
Sefinot;46.2646600073,7.87922996804
14 Garage Regie Visp;46.2935665182,7.88080218963
Visp;46.2940199844,7.88144994512
Visp, Bio Süd;46.2997207929,7.88273409911
Visp, Waage;46.2954052614,7.88445104404
Visp, Bio;46.2979584303,7.88479627834
Born Tunnel OL-RTR;47.3257186365,7.89454623277
Mürren (Talst. 3. Sekt.);46.5577611633,7.89108494786
Mürren (Bergst. direkt);46.5580300935,7.89132192871
Hauenstein Nord (Spw);47.4175100129,7.89901995342
Aarburg-Oftringen (Abzw);47.3223319286,7.90475566317
Aarburgertunnel;47.3237521108,7.90499293452
Hüswil;47.1285500043,7.90572000229
Olten Süd (Abzw);47.3456099596,7.90762001401
Tankstelle Agrola Hüswil;47.127840607,7.90648562836
Stechelberg (Talst. direkt);46.5553243894,7.90200535097
Sandweid;46.6138400317,7.90297995206
14 PU Autotour Eyholz;46.2939744054,7.90031134051
Spielboden (Längfluh);46.0919459579,7.89931809899
14 PU BUS-trans Vispertermine;46.2580977856,7.90298542901
32 PU Amstein Bus AG, Hofstat;47.0851244917,7.91473878556
Saas-Fee Mast 4 (Felskinn);46.0815702052,7.91750942922
Niederried;46.7164199563,7.92866998698
Offenburg;48.476475546,7.94671819023
In Gassen (Verzw);46.5983760074,7.93245544545
Tankstelle Garage Saas-Fee;46.1086624582,7.92981923098
14 Garage E-Shuttle Saas;46.1086624582,7.92981923098
Zofingen;47.2880400203,7.94309994766
Sk Mund, Kehr;46.3137970549,7.93728536359
Sk Mund, Brejtacher;46.3183889444,7.94241692592
Stein-Säckingen Ost (Abzw);47.5398600332,7.95469998007
Lütschental;46.6370999674,7.94898997185
Mundbach (Spw);46.3084799761,7.9473500385
32 PU Amstein Bus AG,Hergiswi;47.0847219831,7.9578253825
Oberried am Brienzersee;46.7365500352,7.95892005654
Sk Saas-Almagell, Garage;46.0971417941,7.95724505082
Reiden Nord;47.241418307,7.96878221037
Däniken (Df);47.3563868202,7.97876607008
Belalp Schönbiel (Chiematte);46.379313405,7.97163014364
Salzegg;46.5842647491,7.97552626541
Eigergletscher (Grindelwald);46.5753748098,7.97564907747
Glisergrund;46.3165099525,7.97462998871
Holenstein (Männlichen);46.6211572236,7.9791563477
32 PU Schnider Bus, Bramboden;46.9791820452,7.98468247593
32 PU Amstein Bus AG, Menzber;47.0406669984,7.99733457781
Brig RB;46.322460013,8.00038995296
Frick;47.5073399692,8.01308003892
Murg (Baden);47.5534555325,8.01872476166
14 PU Walker;46.3387515706,8.00988396907
Frick Hübeli;47.5015460649,8.02325555844
Bitsch-West/Ostausfahrt;46.3323799991,8.01366998372
Kölliken;47.3372899593,8.02644999208
32 PU Amstein Bus AG, Romoos;47.0107209048,8.02631096919
Kaisten Ost (Abzw);47.5532099687,8.04575995178
Oberentfelden Uerkenbrücke;47.3610700415,8.04567005418
Ried-Mörel (Talst. Riederalp);46.3602348256,8.03457839601
Sk Mörel, Kraftwerk;46.351718056,8.03880899963
Tankstelle Erne Laufenburg;47.5530527781,8.05377807636
Mörel (Ried-Mörel);46.3565504312,8.04571167444
Laufenburg (Baden);47.5646816261,8.06176878932
Bort (Firstbahn 2. Sekt.);46.6467518005,8.05173882674
Triengen-Winikon;47.234739977,8.07325003962
St. Erhard-Knutwil;47.1800699502,8.07456004663
28 Garage Zeihen 5079 Zeihen;47.4731504492,8.08308660959
Suhr (Gleis 7-8);47.371183921,8.08218865716
Suhr [Gleis 7-8];47.3714695157,8.08258931016
Büron-Bad Knutwil;47.2104599912,8.0891299563
28 PU Brändli Elfingen;47.5064932667,8.09728275819
Gränichen;47.3616599577,8.09878002085
Effingen;47.4765500372,8.10066996365
Sursee Nord;47.1707894052,8.09787742578
Sursee;47.1707900197,8.09788007146
32 PU Eurobus Häfliger, Surse;47.1777052972,8.09824859858
Werthensteintunnel;47.0563086007,8.09926131634
Grengiols;46.3752099759,8.09168004676
Iselle transito;46.2729222102,8.09141606118
Gränichen Oberdorf;47.3565299692,8.10648005018
Staz. della Galleria Sempione;46.2723400133,8.09350000079
28 Garage Walde;47.2602216497,8.11285018031
Teufenthal AG;47.3293999968,8.11446998355
Fiescheralp (Bergstation 1);46.4129648386,8.10332242961
Oberkirch;47.1552300076,8.11421996366
Oberkulm Post;47.3040999585,8.11941000726
Schinznach Dorf;47.4570899874,8.1307700427
14 Garage Regie Lax;46.3876817809,8.11774230367
